UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,timestamp,ambient_temp_C,load_density_pct,ambient_temp_K,temp_differential_K,load_adjusted_torque,wear_per_load,Type_enc
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,2024-01-01 00:00:00,18.91347748494375,38.36248010601821,292.06347748494375,6.0365225150562765,108.73298604336726,0.0,2
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,2024-01-01 00:10:00,18.91347748494375,38.36248010601821,292.06347748494375,6.136522515056242,117.62470219177347,1.1508744031805462,1
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,2024-01-01 00:20:00,18.91347748494375,38.36248010601821,292.06347748494375,6.0365225150562765,125.50022220893325,1.9181240053009105,1
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,2024-01-01 00:30:00,18.91347748494375,38.36248010601821,292.06347748494375,6.136522515056242,100.34936796058429,2.685373607421275,1
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,2024-01-01 00:40:00,17.610901608608362,37.186934272805516,290.7609016086083,7.439098391391667,104.74786929540359,3.3468240845524964,1
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,2024-01-01 00:50:00,17.610901608608362,37.186934272805516,290.7609016086083,7.339098391391701,109.72339308693526,4.0905627700086065,2
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,2024-01-01 01:00:00,17.610901608608362,37.186934272805516,290.7609016086083,7.339098391391701,111.0327414531278,5.2061707981927725,1
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,2024-01-01 01:10:00,17.610901608608362,37.186934272805516,290.7609016086083,7.339098391391701,105.27160864188062,5.949909483648883,1
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,2024-01-01 01:20:00,17.610901608608362,37.186934272805516,290.7609016086083,7.53909839139169,74.89472654621358,6.693648169104993,2
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,2024-01-01 01:30:00,17.610901608608362,37.186934272805516,290.7609016086083,7.739098391391678,73.32350850678252,7.809256197289159,2
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,2024-01-01 01:40:00,17.740161767502716,34.04427160332122,290.8901617675027,7.509838232497259,68.19944860185065,8.170625184797093,0
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,2024-01-01 01:50:00,17.740161767502716,34.04427160332122,290.8901617675027,7.7098382324973045,126.4115302536395,9.872838764963154,0
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,2024-01-01 02:00:00,17.740161767502716,34.04427160332122,290.8901617675027,7.7098382324973045,145.81555747090246,11.575052345129215,2
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,2024-01-01 02:10:00,17.740161767502716,34.04427160332122,290.8901617675027,7.7098382324973045,85.60600242910124,12.596380493228851,2
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,2024-01-01 02:20:00,17.740161767502716,34.04427160332122,290.8901617675027,7.7098382324973045,55.929254920346146,13.617708641328488,1
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,2024-01-01 02:30:00,17.740161767502716,34.04427160332122,290.8901617675027,7.7098382324973045,138.11101725228332,14.298594073394913,1
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,2024-01-01 02:40:00,18.270063953593922,33.532702352741246,291.4200639535939,7.179936046406112,134.94455060016708,14.754389035206147,2
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,2024-01-01 02:50:00,18.270063953593922,33.532702352741246,291.4200639535939,7.279936046406078,132.04874479329655,15.760370105788384,2
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,2024-01-01 03:00:00,18.270063953593922,33.532702352741246,291.4200639535939,7.379936046406101,157.82141647444433,16.766351176370623,0
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,2024-01-01 03:10:00,18.270063953593922,33.532702352741246,291.4200639535939,7.479936046406067,94.1136887232925,18.442986294007685,2
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,2024-01-01 03:20:00,18.270063953593922,33.532702352741246,291.4200639535939,7.479936046406067,123.650907953372,19.448967364589922,0
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,2024-01-01 03:30:00,18.270063953593922,33.532702352741246,291.4200639535939,7.379936046406101,129.7321001478001,21.125602482226984,1
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,2024-01-01 03:40:00,17.034688237243493,33.43296740382471,290.18468823724345,8.715311762756528,89.15874034309903,21.73142881248606,2
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,2024-01-01 03:50:00,17.034688237243493,33.43296740382471,290.18468823724345,8.81531176275655,74.63777286050961,22.7344178346008,1
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,2024-01-01 04:00:00,17.034688237243493,33.43296740382471,290.18468823724345,8.81531176275655,108.32641742011705,23.403077182677297,2
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,2024-01-01 04:10:00,17.034688237243493,33.43296740382471,290.18468823724345,8.81531176275655,67.66770846886669,24.406066204792037,1
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,2024-01-01 04:20:00,17.034688237243493,33.43296740382471,290.18468823724345,8.915311762756573,113.26354636419747,25.074725552868532,1
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,2024-01-01 04:30:00,17.034688237243493,33.43296740382471,290.18468823724345,8.915311762756573,71.44316001433994,25.743384900945028,0
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,2024-01-01 04:40:00,17.534203483985966,31.31035926200599,290.6842034839859,8.415796516014098,136.7982313089757,25.67449459484491,1
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,2024-01-01 04:50:00,17.534203483985966,31.31035926200599,290.6842034839859,8.315796516014075,93.15897652489068,26.30070178008503,1
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,2024-01-01 05:00:00,17.534203483985966,31.31035926200599,290.6842034839859,8.415796516014098,149.17816174417712,26.92690896532515,2
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,2024-01-01 05:10:00,17.534203483985966,31.31035926200599,290.6842034839859,8.315796516014075,78.92205652440904,27.86621974318533,1
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,2024-01-01 05:20:00,17.534203483985966,31.31035926200599,290.6842034839859,8.315796516014075,149.48766000505714,28.49242692842545,1
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,2024-01-01 05:30:00,17.534203483985966,31.31035926200599,290.6842034839859,8.215796516014052,100.58693478601153,29.118634113665568,1
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,2024-01-01 05:40:00,19.779476414940678,41.46150275787777,292.92947641494067,5.870523585059345,81.72108320768795,39.38842761998388,2
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,2024-01-01 05:50:00,19.779476414940678,41.46150275787777,292.92947641494067,5.870523585059345,114.45661797964364,40.63227270272021,2
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,2024-01-01 06:00:00,19.779476414940678,41.46150275787777,292.92947641494067,5.970523585059311,86.43123209573912,41.87611778545654,2
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,2024-01-01 06:10:00,19.779476414940678,41.46150275787777,292.92947641494067,5.870523585059345,92.3189182058031,43.11996286819288,1
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,2024-01-01 06:20:00,19.779476414940678,41.46150275787777,292.92947641494067,5.970523585059311,119.40227431209738,43.94919292335043,0
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,2024-01-01 06:30:00,19.779476414940678,41.46150275787777,292.92947641494067,5.870523585059345,123.64140831134343,46.02226806124432,1
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,2024-01-01 06:40:00,20.16558785178983,33.71071812315464,293.3155878517898,5.484412148210197,130.795334855705,38.09311147916475,1
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,2024-01-01 06:50:00,20.16558785178983,33.71071812315464,293.3155878517898,5.484412148210197,146.35248922180207,38.76732584162784,1
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,2024-01-01 07:00:00,20.16558785178983,33.71071812315464,293.3155878517898,5.484412148210197,141.45486655099376,39.441540204090934,2
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,2024-01-01 07:10:00,20.16558785178983,33.71071812315464,293.3155878517898,5.484412148210197,139.72629384364961,40.45286174778557,0
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,2024-01-01 07:20:00,20.16558785178983,33.71071812315464,293.3155878517898,5.484412148210197,136.84533933140943,42.1383976539433,2
